restaurant_id,dish_name,continental_region_,specific_cuisine_,dish_type_,dish_type_Appetizer,dish_type_Dessert,dish_type_Drink,dish_type_Main Course,dish_type_Salad,dish_type_Side Dish,dish_type_Snack,dish_type_Soup,dish_variants_normal,Afternoon Snack,Anytime,Appetizer,Breakfast,Brunch,Dessert,Dinner,Drink,Lunch,Main Course,Side Dish,Snack,Starter
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Watermelon Saute,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Watermelon Salad,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Chocolate Vanilla Choco Chips,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Jini Roll Dhosa,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Chickoo Coffee,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Ramen,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Aloo Masala With Paneer Cheese,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Paneer Lababdar With Butter,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Paneer Momos,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Chocolate Waffles,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Chickoo Pyaaza,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Aloo Matar Masala,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Alfredo,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Alfredo Pasta,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Alfredo Pasta With Cheese,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Alfredo Pasta With Mashrum,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Alfredo Souce,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Paneer Cheese Pakoda,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
restro_Stuffer_395002_50164a1e-f7cc-48c8-8641-8a9f0a363809,Soup,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Espresso,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Americano,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Cortado,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Flat White,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Cappuccino,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Latte,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Matcha,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Classic Frappe,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Iced Espresso,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Iced Americano,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Iced Cortado,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Iced Cappuccino,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Iced Latte,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Vietnamese,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Cold Brew,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Cold Brew Tonic,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Barrel Aged Cold Brew,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Cold Brew Tonic(Rum/whiskey),1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Espresso Tonic,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Nutella,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Chocolate,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Berries,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Biscoff,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Coconut Cloud,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Berrylicious Espresso Spritz,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Tropical Matcha Paradise,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Frosty Sea Brew,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Classic Mint Mojito,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Coconut Citrus Cloud,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Eastern Candy Crush,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,The Cucumber Zephyr,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,"Pour Over (V60,Origami)",1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Aero Press,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,French Press,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Butter Croissant,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Korean Cream Cheese Croissant,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Creamy Mushroom Danish,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Pesto Danish,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Pesto Sandwich,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,The Veggie Hummus Sando,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Caesar Salad,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Focaccia Sandwich,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Hipster Toast,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Nachos Grande,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Arabita Pasta,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Cold Salad,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Pesto Pasta,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Truffle Alfredo Mushroom Pasta,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Very Berry Danish,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
restro_ELKespresso_395007_fb43ccca-fc7c-46a2-8e7e-912cbf4c6114,Pancakes,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
